HIP	RAhms	DEdms	Vmag	Plx	ABSmag	Pc	Ly	X	Y	Z
62827	12 52 29.43	+07 12 28.3	9.36	5.3	2.9813793480039443	188.67924528301882	615.3958490566037	-182.30004860388703	-42.49843028737969	23.673472552600536
62828	12 52 30.61	+33 50 09.8	8.89	0.67	-1.9796259864958667	1492.5373134328358	4868.056716417911	-1207.3541515318059	-281.57179642278254	831.0721438163279
62829	12 52 30.71	-52 40 02.4	7.86	0.45	-3.8739374311232835	2222.2222222222254	7247.995555555566	-1312.4278620942403	-306.0871858043061	-1766.9508613494115
62830	12 52 31.42	+07 12 03.9	11.06	17.32	7.252739438406639	57.736720554272544	188.31397228637422	-55.78360285803509	-13.013006833574835	7.237417059180107
62831	12 52 31.66	+07 12 30.3	9.48	6.83	3.652103518407664	146.4128843338213	477.5399707174229	-141.45717784694267	-33.00120585129023	18.371715948384793
62832	12 52 33.62	+36 01 02.6	10.24	1.98	1.7233259513076558	505.05050505050525	1647.271717171718	-397.8085378523153	-92.86631576391801	296.98523071023203
62833	12 52 33.68	+43 46 15.5	8.82	3.25	1.3794168048943725	307.6923076923077	1003.5686153846154	-216.3702025894783	-50.51147865540749	212.85460335273507
62834	12 52 33.99	-23 08 10.4	7.54	3.77	0.4217067510289647	265.2519893899203	865.1453580901854	-237.53066614550102	-55.457083965575826	-104.22241771240967
62835	12 52 34.05	+01 56 37.1	7.86	4.07	0.9079720461261003	245.70024570024577	801.3754299754303	-239.12770768997703	-55.831057190533784	8.333258971457834
62836	12 52 34.29	-40 56 27.5	8.51	5.62	2.258681577845305	177.93594306049823	580.3555160142349	-130.88942296427456	-30.562212898156552	-116.59807001694267
62837	12 52 34.91	+59 52 38.6	8.61	3.06	1.0386071324079005	326.79738562091495	1065.881699346405	-159.7063908300187	-37.29845039958754	282.664510638502
62838	12 52 36.41	-20 55 36.5	9.72	5.91	3.5779374044062777	169.20473773265647	551.8778341793569	-153.89822796757684	-35.95972232616987	-60.43572676688488
62839	12 52 36.62	+66 35 53.0	8.65	13.8	4.349395432006183	72.46376811594203	236.34768115942032	-28.026101513356398	-6.548995524066919	66.5029772352322
62840	12 52 38.16	-61 14 54.9	10.44	2.93	2.7743381017705477	341.296928327645	1113.1733788395902	-159.85675753348374	-37.373384704301664	-299.2200535935232
62841	12 52 40.76	-28 42 32.3	8.37	14.09	4.114554965546782	70.97232079488997	231.48317955997155	-60.61058181088254	-14.182422281736871	-34.092324499534776
62842	12 52 44.49	-52 16 09.5	10.23	4.15	3.3202404835604646	240.96385542168662	785.9272289156622	-143.57062399924087	-33.63554553395214	-190.5772956592299
62843	12 52 44.72	-41 11 04.2	8.5	5.8	2.3171399678146862	172.41379310344826	562.3444827586206	-126.33615920151067	-29.600108942888703	-113.5320416494759
62844	12 52 45.50	-08 42 31.9	8.67	1.34	-0.6944760081759611	746.2686567164178	2434.028358208955	-718.2051987782622	-168.31590023007928	-112.9953900605747
62845	12 52 46.94	-39 18 43.7	7.99	3.25	0.5494168048943724	307.6923076923077	1003.5686153846154	-231.7776774800739	-54.34410022798827	-194.9368697947388
62846	12 52 47.79	+51 12 08.6	9.6	4.52	2.87569217405691	221.2389380530974	721.5924778761064	-134.95993692822663	-31.6523899117279	172.42566325250803
62847	12 52 48.72	+33 44 15.3	9.46	28.08	6.701985517288839	35.612535612535616	116.15377492877495	-28.83221534325509	-6.764125409357522	19.778843712430902
62848	12 52 50.06	+71 34 17.5	7.92	2.95	0.26911007989081526	338.98305084745766	1105.6264406779662	-104.32452919809602	-24.485603831261702	321.5996837288
62849	12 52 52.18	+02 07 01.1	8.74	3.08	1.1827535825022224	324.6753246753246	1058.9603896103895	-315.85879183694436	-74.18522516177666	11.993433204456995
62850	12 52 53.38	+77 41 22.2	9.43	14.97	5.306109001715262	66.8002672010688	217.87561790247162	-13.864865367667269	-3.2577013262152783	65.26429796251412
62851	12 52 57.80	-07 07 32.6	9.11	3.17	1.6152963110887573	315.45741324921124	1028.895268138801	-304.6995465040635	-71.69580015901285	-39.13154959441999
62852	12 52 58.17	+15 01 53.2	7.92	6.77	2.072943343425722	147.7104874446086	481.7722304283605	-138.8631100393851	-32.67841126853303	38.308565729848354
62853	12 52 58.82	-14 37 14.2	7.55	1.31	-1.863643521721177	763.3587786259538	2489.769465648854	-718.9913526729688	-169.23499968541387	-192.6851695597784
62854	12 53 00.03	+47 39 31.3	8.9	10.76	4.059061356651853	92.93680297397765	303.1224907063196	-60.93073517920861	-14.3474471530045	68.69385429379278
62855	12 53 01.36	+45 50 33.2	9.26	0.06	-6.849243748081781	16666.666666666657	54359.96666666664	-11301.195196406668	-2662.2566383503977	11957.138223757873
62856	12 53 01.51	+69 34 43.9	9.68	5.01	3.1791886293362293	199.60079840319352	651.0175648702592	-67.78853805045199	-15.96992272200387	187.05655401623315
62857	12 53 01.70	+26 47 40.1	7.66	18.22	3.962741863184897	54.8847420417124	179.0119648737651	-47.68614325899968	-11.234810851999395	24.74157786373515
62858	12 53 02.63	+15 42 38.8	9.51	10.99	4.714988462117452	90.99181073703369	296.7787079162876	-85.25681773278573	-20.092535577763762	24.638885229226794
62859	12 53 03.02	+16 51 04.9	10.21	29.75	7.577434850322843	33.61344537815127	109.63354621848742	-31.312073467869908	-7.380275166057187	9.744193337878514
62860	12 53 03.91	+19 36 18.3	7.66	17.11	3.8262500477055017	58.44535359438924	190.62524839275275	-53.58789086537007	-12.634367870150001	19.610457870638715
62861	12 53 04.26	-54 57 08.9	5.91	8.61	0.5850157572682733	116.14401858304304	378.815098722416	-64.91609973072775	-15.306960219268511	-95.08433108148886
62862	12 53 04.60	-56 48 08.2	9.01	1.54	-0.052396395817684294	649.3506493506493	2117.920779220779	-346.04699269147363	-81.60537286685903	-543.3675623190604
62863	12 53 04.98	-43 27 23.8	8.96	1.02	-0.9969991411904111	980.3921568627452	3197.645098039216	-692.6580874733029	-163.36405106485148	-674.3187242806567
62865	12 53 06.51	-69 52 48.5	8.88	8.75	3.5900402651115666	114.2857142857143	372.7540571428572	-38.261799108221076	-9.028566983818056	-107.31143553702357
62864	12 53 06.52	-62 40 56.5	8.36	2.57	0.40966561665647205	389.1050583657587	1269.1042801556418	-173.7962020967525	-41.010553292782525	-345.7105163300432
62866	12 53 06.58	-23 09 58.3	9.1	4.27	2.252139375125118	234.19203747072612	763.8402810304455	-209.55327992372654	-49.4490310176135	-92.13102962258364
62867	12 53 06.98	-48 56 35.7	4.33	10.77	-0.5089214835100915	92.8505106778087	302.84103992571954	-59.35423023241833	-14.00785289529258	-70.01480374828446
62869	12 53 07.35	+58 55 14.7	8.29	7.38	2.630281809115207	135.50135501355015	441.95094850948516	-68.07829657342512	-16.068714304371497	116.05067499490649
62870	12 53 07.56	-64 24 33.6	9.4	5.53	3.1136256565234923	180.83182640144665	589.8007233273056	-76.01915496884767	-17.944258944348537	-163.09273769375332
62871	12 53 08.87	-60 52 53.5	8.76	13.63	4.432479279173368	73.36757153338223	239.29552457813645	-34.746225258969076	-8.205314552784365	-64.09503253801189
62872	12 53 09.53	-14 57 56.4	7.61	15.2	3.5192179397238634	65.78947368421052	214.57881578947368	-61.855872715458034	-14.610388223787044	-16.989479515415034
62873	12 53 09.90	+43 15 46.3	10.15	0.83	-0.25460953811963094	1204.819277108434	3929.6361445783145	-853.8686587090982	-201.7083302530736	825.7188102937538
62874	12 53 10.48	+12 27 57.3	7.96	5.54	1.677548823642149	180.50541516245482	588.7361010830324	-171.52717920928697	-40.52728839070282	38.96370864242939
62875	12 53 11.31	-03 33 11.1	6.11	30.75	3.549225600557178	32.520325203252035	106.06822764227644	-31.58763360369686	-7.465329210437128	-2.015394359341238
62876	12 53 11.46	+59 57 07.9	7.57	2.3	-0.6213608199120344	434.782608695652	1418.0860869565213	-211.86831379460529	-50.074733972929444	376.3512394712783
62877	12 53 12.10	+09 27 57.6	9.81	2.09	1.4107314305552698	478.46889952153134	1560.5732057416276	-459.29467032461275	-108.5760759534062	78.69008419941295
62878	12 53 12.17	-16 35 31.8	8.02	5.62	1.7686815778453049	177.93594306049823	580.3555160142349	-165.952750321969	-39.231763980291674	-50.81095539741187
